Quest,Start Date,Duration (in days),Reward(in rupees),Difficulty,Location,Quest Giver
A Freezing Rod,28,10,110,Hard,Hateno Ancient Tech Lab,Purah
A Parent's Love,20,7,230,Hard,Hateno Ancient Tech Lab,Symin
Slated for Upgrades,5,3,920,Very Hard,Zora's Domain,Ledo
Robbie's Research,7,3,840,Medium,Outskirt Stable,Trott
A Rare Find,19,7,370,Easy,Lurelin Village,Rozel
Riddles of Hyrule,7,4,780,Very Hard,Tabantha Bridge Stable,Toren
Luminous Stone Gathering,10,4,590,Very Hard,Gerudo Town,Purah
A Gift for the Great Fairy,25,8,165,Easy,Tarrey Town,Ruli
An Ice Guy,16,6,400,Medium,Kakariko Village,Koko
A Gift of Nightshade,23,8,200,Medium,Hateno Village,Nebb
Curry for What Ails You,12,4,460,Hard,Goron City,Lester
Rushroom Rush!,6,3,900,Hard, Zora's Domain,Jihato
Arrows of Burning Heat,14,5,410,Very Hard,Snowfield Stable,Rola
The Weapon Connoisseur,1,1,1520,Hard,Great Hyrule Forest,Walton
Sunshroom Sensing,3,2,1110,Medium,Kitano Bay,Kass
Tools of the Trade,1,1,2100,Very Hard,Kara Kara Bazaar,Guy
Sunken Treasure,3,3,1050,Easy,Gerudo Canyon Stable,Pirou
Cooking with Koko,13,5,430,Medium,Rito Village,Juannelle
The Jewel Trade,2,2,1200,Easy,Zora's Domain,Laflat
Stalhorse: Pictured!,4,3,1000,Very Hard,Great Hyrule Forest,Kula
The Hero's Cache,2,2,1200,Hard,Tuft Mountain,Wabbin
Frog Catching,11,4,570,Easy,Hateno Ancient Tech Lab,Ramella
Medicinal Molduga,8,4,750,Easy,Gerudo Town,Isha
Lynel Safari,9,4,600,Medium,Gerudo Town,Malena
